take,t_ms,state,tilt_deg,hipV_per_s
1,11606.7,STANDING,1.48,0.000
1,11632.2,STANDING,1.42,-0.016
1,11665.7,STANDING,1.34,-0.090
1,11699.2,STANDING,1.24,-0.188
1,11731.5,STANDING,1.24,-0.140
1,11765.9,STANDING,1.30,-0.187
1,11799.2,STANDING,1.37,-0.189
1,11832.4,STANDING,1.46,-0.098
1,11865.7,STANDING,1.56,-0.059
1,11899.1,STANDING,1.62,-0.027
1,11933.2,STANDING,1.67,0.008
1,11965.8,STANDING,1.72,0.012
1,11999.6,STANDING,1.75,-0.109
1,12032.4,STANDING,1.82,-0.142
1,12074.0,STANDING,1.90,-0.065
1,12107.5,STANDING,1.87,0.072
1,12140.7,STANDING,1.76,0.275
1,12165.8,STANDING,1.65,0.156
1,12199.1,STANDING,1.55,0.108
1,12232.5,STANDING,1.47,0.116
1,12265.7,STANDING,1.44,0.051
1,12299.1,STANDING,1.40,0.035
1,12332.4,STANDING,1.30,0.029
1,12366.8,STANDING,1.24,0.010
1,12399.6,STANDING,1.30,-0.189
1,12432.3,STANDING,1.36,-0.431
1,12465.7,STANDING,1.44,-0.090
1,12499.1,STANDING,1.45,0.004
1,12532.4,STANDING,1.41,0.034
1,12565.7,STANDING,1.45,0.083
1,12599.1,STANDING,1.40,0.143
1,12632.4,STANDING,1.35,0.113
1,12665.9,STANDING,1.33,0.000
1,12699.1,STANDING,1.40,-0.036
1,12733.1,STANDING,1.42,-0.029
1,12765.8,STANDING,1.39,0.053
1,12799.4,STANDING,1.35,0.117
1,12832.4,STANDING,1.35,0.189
1,12864.8,STANDING,1.35,0.210
1,12899.1,STANDING,1.43,0.429
1,12932.4,STANDING,1.52,0.282
1,12964.9,STANDING,1.49,0.122
1,13000.1,STANDING,1.43,-0.129
1,13040.8,STANDING,1.40,-0.187
1,13074.1,STANDING,1.37,-0.204
1,13107.4,STANDING,1.33,-0.036
1,13140.8,STANDING,1.27,0.011
1,13174.1,STANDING,1.23,0.012
1,13202.2,STANDING,1.18,-0.002
1,13240.7,STANDING,1.16,-0.003
1,13274.1,STANDING,1.16,-0.011
1,13307.4,STANDING,1.17,0.016
1,13349.1,STANDING,1.20,0.002
1,13382.8,STANDING,1.24,0.039
1,13407.4,STANDING,1.25,-0.034
1,13440.7,STANDING,1.21,-0.039
1,13474.1,STANDING,1.05,-0.030
1,13507.3,STANDING,0.97,0.050
1,13540.7,STANDING,0.93,0.077
1,13573.2,STANDING,0.95,0.085
1,13606.5,STANDING,0.95,0.063
1,13631.5,STANDING,1.03,0.042
